Flight_Date,Year,Month,Month_Name,Year_Month,Airport_ICAO,Airport_Name,Country,IFR_Departures,Total_Delay_Minutes
2020-01-01,2020,1,January,2020-01,EBBR,Brussels,Belgium,201.0,1995.0
2020-01-01,2020,1,January,2020-01,EBCI,Brussels - Charleroi,Belgium,63.0,600.0
2020-01-01,2020,1,January,2020-01,EDDB,Berlin - Brandenburg,Germany,96.0,836.01
2020-01-01,2020,1,January,2020-01,EDDC,Dresden,Germany,13.0,22.0
2020-01-01,2020,1,January,2020-01,EDDF,Frankfurt,Germany,423.0,3397.7
2020-01-01,2020,1,January,2020-01,EDDG,Muenster-Osnabrueck,Germany,5.0,64.0
2020-01-01,2020,1,January,2020-01,EDDH,Hamburg,Germany,110.0,1245.3
2020-01-01,2020,1,January,2020-01,EDDK,Cologne-Bonn,Germany,88.0,2320.2
2020-01-01,2020,1,January,2020-01,EDDL,Dusseldorf,Germany,189.0,1301.52
2020-01-01,2020,1,January,2020-01,EDDM,Munich,Germany,328.0,3025.0
2020-01-01,2020,1,January,2020-01,EDDN,Nuremberg,Germany,39.0,403.0
2020-01-01,2020,1,January,2020-01,EDDP,Leipzig-Halle,Germany,29.0,79.56
2020-01-01,2020,1,January,2020-01,EDDR,Saarbruecken,Germany,3.0,21.0
2020-01-01,2020,1,January,2020-01,EDDS,Stuttgart,Germany,87.0,422.0
2020-01-01,2020,1,January,2020-01,EDDT,Berlin - Tegel,Germany,183.0,2114.43
2020-01-01,2020,1,January,2020-01,EDDV,Hanover,Germany,40.0,289.3
2020-01-01,2020,1,January,2020-01,EDDW,Bremen,Germany,20.0,452.02
2020-01-01,2020,1,January,2020-01,EETN,Tallinn,Estonia,43.0,180.0
2020-01-01,2020,1,January,2020-01,EFHK,Helsinki - Vantaa,Finland,220.0,1281.78
2020-01-01,2020,1,January,2020-01,EGBB,Birmingham,United Kingdom,83.0,496.0
2020-01-01,2020,1,January,2020-01,EGCC,Manchester,United Kingdom,173.0,1382.0
2020-01-01,2020,1,January,2020-01,EGGD,Bristol,United Kingdom,70.0,394.0
2020-01-01,2020,1,January,2020-01,EGGW,London - Luton,United Kingdom,165.0,1089.0
2020-01-01,2020,1,January,2020-01,EGKK,London - Gatwick,United Kingdom,325.0,2169.0
2020-01-01,2020,1,January,2020-01,EGLC,London - City,United Kingdom,54.0,247.0
2020-01-01,2020,1,January,2020-01,EGLL,London - Heathrow,United Kingdom,591.0,3797.0
2020-01-01,2020,1,January,2020-01,EGNT,Newcastle,United Kingdom,32.0,196.0
2020-01-01,2020,1,January,2020-01,EGPD,Aberdeen,United Kingdom,27.0,77.0
2020-01-01,2020,1,January,2020-01,EGPF,Glasgow,United Kingdom,61.0,146.0
2020-01-01,2020,1,January,2020-01,EGPH,Edinburgh,United Kingdom,115.0,782.0
2020-01-01,2020,1,January,2020-01,EGSS,London - Stansted,United Kingdom,196.0,1162.0
