crew_change_id,plan_created_date,vessel_code,seafarer_id,rank,movement_type,origin_airport,connection_airport,destination_airport,number_of_connections,shortest_connection_minutes,scheduled_departure,scheduled_arrival,estimated_travel_cost_eur,joining_port,vessel_eta,reporting_deadline,port_transfer_minutes,port_agent_confirmed,vessel_eta_confidence,passport_country_code,passport_valid,visa_status,medical_valid,documents_verified,ticket_status,airport_delay_risk,weather_risk,route_complexity,arrival_buffer_minutes,risk_score,risk_level,risk_reasons,human_review_status,actual_outcome,actual_delay_minutes,crew_change_completed,additional_cost_eur,outcome_reason
CC-0061,2026-01-20,VSL-015,SEA-0089,Cook,Joining,CMB,IST,BRE,1,156.0,2026-03-04 15:45:00+00:00,2026-03-05 04:15:00+00:00,1069,DEBRV,2026-03-05 23:49:00+00:00,2026-03-05 16:49:00+00:00,75,True,High,LK,True,Verified,True,True,Ticketed,Low,Low,Medium,679,0,Low,No material risk factor identified under the prototype rules,Not reviewed,On time,0,True,0,No disruption
CC-0109,2026-01-27,VSL-016,SEA-0014,Chief Engineer,Joining,BOM,FRA,ATH,1,72.0,2026-03-03 01:00:00+00:00,2026-03-03 16:15:00+00:00,980,GRPIR,2026-03-04 07:27:00+00:00,2026-03-04 03:27:00+00:00,60,True,Low,IN,True,Verified,True,True,Ticketed,Medium,Low,High,612,23,Low,Short connection: 72 minutes; Airport historical delay indicator: Medium,Not reviewed,On time,0,True,0,No disruption
CC-0119,2026-02-02,VSL-004,SEA-0030,Able Seafarer,Joining,BOM,DXB,HAM,1,179.0,2026-03-13 09:30:00+00:00,2026-03-14 07:30:00+00:00,963,DEHAM,2026-03-15 02:13:00+00:00,2026-03-14 18:13:00+00:00,45,True,High,IN,True,Verified,True,True,Ticketed,Medium,Low,Medium,598,8,Low,Airport historical delay indicator: Medium,Not reviewed,On time,0,True,0,No disruption
CC-0133,2026-02-08,VSL-015,SEA-0019,Second Engineer,Joining,DAC,IST,CPH,1,165.0,2026-03-11 10:00:00+00:00,2026-03-12 04:15:00+00:00,1030,DKCPH,2026-03-12 16:47:00+00:00,2026-03-12 14:47:00+00:00,30,False,Medium,BD,True,Verified,True,True,Ticketed,Medium,Low,Medium,602,18,Low,Airport historical delay indicator: Medium; Port agent transfer not confirmed,Not reviewed,On time,0,True,0,No disruption
CC-0017,2026-02-11,VSL-015,SEA-0045,Second Engineer,Joining,DEL,DOH,BRU,1,150.0,2026-03-05 19:15:00+00:00,2026-03-06 17:45:00+00:00,1769,BEANR,2026-03-07 16:26:00+00:00,2026-03-07 09:26:00+00:00,50,True,Medium,IN,True,Verified,True,True,Reserved,Medium,Medium,Medium,891,13,Low,Airport historical delay indicator: Medium; Weather indicator: Medium,Not reviewed,On time,0,True,0,No disruption
CC-0117,2026-02-13,VSL-008,SEA-0008,Second Officer,Joining,DAC,,SIN,0,,2026-03-17 05:30:00+00:00,2026-03-17 12:45:00+00:00,589,SGSIN,2026-03-17 23:29:00+00:00,2026-03-17 17:29:00+00:00,35,True,Low,BD,True,Verified,True,True,Ticketed,Low,Medium,Low,249,20,Low,Arrival buffer between 4 and 8 hours: 249 minutes; Weather indicator: Medium,Not reviewed,On time,0,True,0,No disruption
CC-0105,2026-02-13,VSL-003,SEA-0024,Third Engineer,Joining,DAC,DOH,BRE,1,63.0,2026-03-16 22:30:00+00:00,2026-03-17 12:15:00+00:00,1156,DEBRV,2026-03-18 06:08:00+00:00,2026-03-18 03:08:00+00:00,75,True,High,BD,True,Verified,True,True,Quoted,Low,Low,High,818,15,Low,Short connection: 63 minutes,Not reviewed,On time,0,True,0,No disruption
CC-0106,2026-02-15,VSL-006,SEA-0088,Second Engineer,Joining,CMB,,SIN,0,,2026-03-18 09:30:00+00:00,2026-03-18 20:30:00+00:00,960,SGSIN,2026-03-19 14:46:00+00:00,2026-03-19 08:46:00+00:00,35,True,High,LK,True,Verified,True,True,Ticketed,Low,Low,Low,701,0,Low,No material risk factor identified under the prototype rules,Not reviewed,On time,0,True,0,No disruption
CC-0014,2026-02-17,VSL-005,SEA-0035,Chief Engineer,Joining,MNL,DXB,OSL,1,117.0,2026-03-31 15:45:00+00:00,2026-04-01 11:15:00+00:00,822,NOOSL,2026-04-02 01:01:00+00:00,2026-04-02 00:01:00+00:00,50,False,High,PH,True,Verified,True,True,Ticketed,Low,Low,Medium,716,10,Low,Port agent transfer not confirmed,Not reviewed,On time,0,True,0,No disruption
CC-0102,2026-02-18,VSL-008,SEA-0039,Able Seafarer,Joining,DEL,,ATH,0,,2026-03-19 16:15:00+00:00,2026-03-20 00:30:00+00:00,1128,GRPIR,2026-03-20 18:34:00+00:00,2026-03-20 13:34:00+00:00,60,True,Medium,IN,True,Verified,True,True,Reserved,Medium,Low,Low,724,8,Low,Airport historical delay indicator: Medium,Not reviewed,On time,0,True,0,No disruption
CC-0035,2026-02-18,VSL-009,SEA-0081,Bosun,Joining,DEL,,AMS,0,,2026-03-15 13:15:00+00:00,2026-03-15 21:00:00+00:00,622,NLRTM,2026-03-16 15:26:00+00:00,2026-03-16 07:26:00+00:00,75,True,Medium,IN,True,Verified,True,True,Ticketed,High,Low,Low,551,15,Low,Airport historical delay indicator: High,Not reviewed,On time,0,True,0,No disruption
CC-0103,2026-02-21,VSL-005,SEA-0089,Able Seafarer,Joining,DAC,DOH,SIN,1,125.0,2026-03-04 00:15:00+00:00,2026-03-04 20:30:00+00:00,1435,SGSIN,2026-03-05 18:25:00+00:00,2026-03-05 11:25:00+00:00,35,True,High,BD,True,Verified,True,True,Reserved,Low,Low,Medium,860,0,Low,No material risk factor identified under the prototype rules,Not reviewed,On time,0,True,0,No disruption
CC-0087,2026-02-21,VSL-004,SEA-0054,Bosun,Joining,DEL,CDG,SIN,1,126.0,2026-04-01 13:45:00+00:00,2026-04-02 10:15:00+00:00,1299,SGSIN,2026-04-03 04:27:00+00:00,2026-04-02 22:27:00+00:00,35,True,Medium,IN,True,Pending verification,True,False,Reserved,Low,Low,Medium,697,20,Low,Visa/document status: Pending verification,Not reviewed,On time,0,True,0,No disruption
CC-0085,2026-02-25,VSL-015,SEA-0071,Chief Engineer,Joining,BOM,IST,LCA,1,155.0,2026-03-27 00:30:00+00:00,2026-03-27 23:00:00+00:00,982,CYLMS,2026-03-28 21:22:00+00:00,2026-03-28 14:22:00+00:00,50,True,Low,IN,True,Verified,True,True,Reserved,Low,Low,Medium,872,0,Low,No material risk factor identified under the prototype rules,Not reviewed,On time,0,True,0,No disruption
