Economy,Seafarer_Type,Seafarer_Count,World_Share_Percent,Year
Albania,Officers,445,0.057,2015
Albania,Ratings,519,0.059,2015
Albania,Total,964,0.059,2015
Algeria,Officers,548,0.071,2015
Algeria,Ratings,589,0.067,2015
Algeria,Total,1137,0.069,2015
Angola,Officers,317,0.041,2015
Angola,Ratings,346,0.04,2015
Angola,Total,663,0.04,2015
Anguilla,Officers,0,0.0,2015
Anguilla,Ratings,0,0.0,2015
Anguilla,Total,0,0.0,2015
Antigua and Barbuda,Officers,0,0.0,2015
Antigua and Barbuda,Ratings,0,0.0,2015
Antigua and Barbuda,Total,0,0.0,2015
Argentina,Officers,670,0.087,2015
Argentina,Ratings,571,0.065,2015
Argentina,Total,1241,0.075,2015
Australia,Officers,4779,0.617,2015
Australia,Ratings,2925,0.335,2015
Australia,Total,7704,0.468,2015
Azerbaijan,Officers,693,0.09,2015
Azerbaijan,Ratings,282,0.032,2015
Azerbaijan,Total,975,0.059,2015
Bahamas,Officers,124,0.016,2015
Bahamas,Ratings,0,0.0,2015
Bahamas,Total,124,0.008,2015
Bahrain,Officers,0,0.0,2015
Bahrain,Ratings,0,0.0,2015
Bahrain,Total,0,0.0,2015
Bangladesh,Officers,3746,0.484,2015
Bangladesh,Ratings,1401,0.16,2015
Bangladesh,Total,5147,0.312,2015
Barbados,Officers,0,0.0,2015
Barbados,Ratings,0,0.0,2015
Barbados,Total,0,0.0,2015
Belgium,Officers,3665,0.474,2015
Belgium,Ratings,1259,0.144,2015
Belgium,Total,4924,0.299,2015
Belize,Officers,0,0.0,2015
Belize,Ratings,0,0.0,2015
Belize,Total,0,0.0,2015
Benin,Officers,0,0.0,2015
Benin,Ratings,0,0.0,2015
Benin,Total,0,0.0,2015
Bermuda,Officers,15,0.002,2015
Bermuda,Ratings,15,0.002,2015
Bermuda,Total,30,0.002,2015
Bolivia (Plurinational State of),Officers,0,0.0,2015
Bolivia (Plurinational State of),Ratings,0,0.0,2015
Bolivia (Plurinational State of),Total,0,0.0,2015
Brazil,Officers,10526,1.36,2015
Brazil,Ratings,18220,2.086,2015
Brazil,Total,28746,1.745,2015
British Virgin Islands,Officers,0,0.0,2015
British Virgin Islands,Ratings,0,0.0,2015
British Virgin Islands,Total,0,0.0,2015
Brunei Darussalam,Officers,490,0.063,2015
Brunei Darussalam,Ratings,317,0.036,2015
Brunei Darussalam,Total,807,0.049,2015
Bulgaria,Officers,10890,1.407,2015
Bulgaria,Ratings,22379,2.562,2015
Bulgaria,Total,33269,2.019,2015
Cabo Verde,Officers,274,0.035,2015
Cabo Verde,Ratings,320,0.037,2015
Cabo Verde,Total,594,0.036,2015
Cambodia,Officers,8053,1.041,2015
Cambodia,Ratings,12004,1.374,2015
Cambodia,Total,20057,1.217,2015
Cameroon,Officers,97,0.013,2015
Cameroon,Ratings,77,0.009,2015
Cameroon,Total,174,0.011,2015
Canada,Officers,6363,0.822,2015
Canada,Ratings,3103,0.355,2015
Canada,Total,9466,0.575,2015
Cayman Islands,Officers,0,0.0,2015
Cayman Islands,Ratings,0,0.0,2015
Cayman Islands,Total,0,0.0,2015
Channel Islands,Officers,0,0.0,2015
Channel Islands,Ratings,0,0.0,2015
Channel Islands,Total,0,0.0,2015
Chile,Officers,6494,0.839,2015
Chile,Ratings,5417,0.62,2015
Chile,Total,11911,0.723,2015
China,Officers,101600,13.127,2015
China,Ratings,142035,16.26,2015
China,Total,243635,14.788,2015
"China, Hong Kong SAR",Officers,757,0.098,2015
"China, Hong Kong SAR",Ratings,67,0.008,2015
"China, Hong Kong SAR",Total,824,0.05,2015
"China, Taiwan Province of",Officers,2567,0.332,2015
"China, Taiwan Province of",Ratings,2567,0.294,2015
"China, Taiwan Province of",Total,5134,0.312,2015
Colombia,Officers,460,0.059,2015
Colombia,Ratings,457,0.052,2015
Colombia,Total,917,0.056,2015
Comoros,Officers,1012,0.131,2015
Comoros,Ratings,2269,0.26,2015
Comoros,Total,3281,0.199,2015
Congo,Officers,11,0.001,2015
Congo,Ratings,10,0.001,2015
Congo,Total,21,0.001,2015
"Congo, Dem. Rep. of the",Officers,57,0.007,2015
"Congo, Dem. Rep. of the",Ratings,71,0.008,2015
"Congo, Dem. Rep. of the",Total,128,0.008,2015
Cook Islands,Officers,297,0.038,2015
Cook Islands,Ratings,408,0.047,2015
Cook Islands,Total,705,0.043,2015
Costa Rica,Officers,64,0.008,2015
Costa Rica,Ratings,102,0.012,2015
Costa Rica,Total,166,0.01,2015
Cote d'Ivoire,Officers,24,0.003,2015
Cote d'Ivoire,Ratings,23,0.003,2015
Cote d'Ivoire,Total,47,0.003,2015
Croatia,Officers,17183,2.22,2015
Croatia,Ratings,10063,1.152,2015
Croatia,Total,27246,1.654,2015
Cuba,Officers,2263,0.292,2015
Cuba,Ratings,3093,0.354,2015
Cuba,Total,5356,0.325,2015
Curacao,Officers,0,0.0,2015
Curacao,Ratings,0,0.0,2015
Curacao,Total,0,0.0,2015
Cyprus,Officers,2907,0.376,2015
Cyprus,Ratings,514,0.059,2015
Cyprus,Total,3421,0.208,2015
Denmark,Officers,6432,0.831,2015
Denmark,Ratings,1026,0.117,2015
Denmark,Total,7458,0.453,2015
Djibouti,Officers,42,0.005,2015
Djibouti,Ratings,45,0.005,2015
Djibouti,Total,87,0.005,2015
Dominica,Officers,397,0.051,2015
Dominica,Ratings,332,0.038,2015
Dominica,Total,729,0.044,2015
Dominican Republic,Officers,40,0.005,2015
Dominican Republic,Ratings,40,0.005,2015
Dominican Republic,Total,80,0.005,2015
Ecuador,Officers,1260,0.163,2015
Ecuador,Ratings,1557,0.178,2015
Ecuador,Total,2817,0.171,2015
Egypt,Officers,2093,0.27,2015
Egypt,Ratings,1869,0.214,2015
Egypt,Total,3962,0.24,2015
Equatorial Guinea,Officers,168,0.022,2015
Equatorial Guinea,Ratings,187,0.021,2015
Equatorial Guinea,Total,355,0.022,2015
Eritrea,Officers,45,0.006,2015
Eritrea,Ratings,47,0.005,2015
Eritrea,Total,92,0.006,2015
Estonia,Officers,2703,0.349,2015
Estonia,Ratings,1158,0.133,2015
Estonia,Total,3861,0.234,2015
Ethiopia,Officers,215,0.028,2015
Ethiopia,Ratings,192,0.022,2015
Ethiopia,Total,407,0.025,2015
Faroe Islands,Officers,556,0.072,2015
Faroe Islands,Ratings,514,0.059,2015
Faroe Islands,Total,1070,0.065,2015
Fiji,Officers,249,0.032,2015
Fiji,Ratings,301,0.034,2015
Fiji,Total,550,0.033,2015
Finland,Officers,3819,0.493,2015
Finland,Ratings,4979,0.57,2015
Finland,Total,8798,0.534,2015
France,Officers,2915,0.377,2015
France,Ratings,2446,0.28,2015
France,Total,5361,0.325,2015
"France, metropolitan",Officers,2801,0.362,2015
"France, metropolitan",Ratings,2258,0.258,2015
"France, metropolitan",Total,5059,0.307,2015
French Polynesia,Officers,225,0.029,2015
French Polynesia,Ratings,337,0.039,2015
French Polynesia,Total,562,0.034,2015
Gabon,Officers,157,0.02,2015
Gabon,Ratings,186,0.021,2015
