iata_code,icao_code,airport_name,municipality,country_code,latitude,longitude,historical_delay_risk,delay_metric_value,delay_metric_definition,source_url,source_retrieved_date
HAM,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,,,,https://ourairports.com/data/,2026-08-30
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.76389,,,,https://ourairports.com/data/,2026-08-30
BRU,EBBR,Brussels Airport,Zaventem,BE,50.901402,4.48444,,,,https://ourairports.com/data/,2026-08-30
BRE,EDDW,Bremen Airport,Bremen,DE,53.046786,8.78932,,,,https://ourairports.com/data/,2026-08-30
CPH,EKCH,Copenhagen Kastrup Airport,Copenhagen,DK,55.617900848389,12.656000137329,,,,https://ourairports.com/data/,2026-08-30
OSL,ENGM,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,60.193901,11.1004,,,,https://ourairports.com/data/,2026-08-30
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445,,,,https://ourairports.com/data/,2026-08-30
LCA,LCLK,Larnaca International Airport,Larnaca,CY,34.875099,33.624901,,,,https://ourairports.com/data/,2026-08-30
SIN,WSSS,Singapore Changi Airport,Singapore,SG,1.35019,103.994003,,,,https://ourairports.com/data/,2026-08-30
DXB,OMDB,Dubai International Airport,Dubai,AE,25.24979,55.370992,,,,https://ourairports.com/data/,2026-08-30
MNL,RPLL,Ninoy Aquino International Airport,Manila (Pasay),PH,14.5086,121.019997,,,,https://ourairports.com/data/,2026-08-30
DEL,VIDP,Indira Gandhi International Airport,New Delhi,IN,28.55563,77.09519,,,,https://ourairports.com/data/,2026-08-30
BOM,VABB,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN,19.088699,72.867897,,,,https://ourairports.com/data/,2026-08-30
CMB,VCBI,Bandaranaike International Colombo Airport,Colombo,LK,7.180759906768799,79.88410186767578,,,,https://ourairports.com/data/,2026-08-30
DAC,VGHS,Hazrat Shahjalal International Airport,Dhaka,BD,23.843347,90.397783,,,,https://ourairports.com/data/,2026-08-30
CGK,WIII,Soekarno-Hatta International Airport,Jakarta,ID,-6.12557,106.655998,,,,https://ourairports.com/data/,2026-08-30
IST,LTFM,İstanbul Airport,Istanbul,TR,41.274874,28.732136,,,,https://ourairports.com/data/,2026-08-30
DOH,OTHH,Hamad International Airport,Doha,QA,25.273056,51.608056,,,,https://ourairports.com/data/,2026-08-30
FRA,EDDF,Frankfurt Main Airport,Frankfurt am Main,DE,50.026706,8.55835,,,,https://ourairports.com/data/,2026-08-30
CDG,LFPG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,49.00896,2.554117,,,,https://ourairports.com/data/,2026-08-30
