Economy_Label,SeafarerType_Label,Percentage_of_total_world_Value,Percentage_of_total_world_Footnote,Percentage_of_total_world_MissingValue,Absolute_value_Value,Absolute_value_Footnote,Absolute_value_MissingValue
"World","Officers",100,,,857544,,
"World","Ratings",100,,,1035181,,
"World","Total",100,,,1892725,,
"Albania","Officers",0.036,,,307,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Albania","Ratings",0.051,,,529,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Albania","Total",0.044,,,836,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Algeria","Officers",0.065,,,560,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Algeria","Ratings",0.084,,,874,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Algeria","Total",0.076,,,1434,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Angola","Officers",0.047,,,400,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Angola","Ratings",0.063,,,655,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Angola","Total",0.056,,,1055,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Antigua and Barbuda","Officers",0.765,,,6560,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Antigua and Barbuda","Ratings",0.879,,,9103,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Antigua and Barbuda","Total",0.828,,,15663,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Argentina","Officers",0.098,,,841,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Argentina","Ratings",0.133,,,1381,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Argentina","Total",0.117,,,2222,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Australia","Officers",0.557,,,4779,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Australia","Ratings",0.283,,,2925,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Australia","Total",0.407,,,7704,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Austria","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Austria","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Austria","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Azerbaijan","Officers",0.081,,,693,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Azerbaijan","Ratings",0.027,,,282,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Azerbaijan","Total",0.052,,,975,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Bahamas","Officers",0.014,,,124,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Bahamas","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Bahamas","Total",0.007,,,124,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Bahrain","Officers",0.134,,,1147,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Bahrain","Ratings",0.211,,,2183,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Bahrain","Total",0.176,,,3330,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Bangladesh","Officers",0.437,,,3746,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Bangladesh","Ratings",0.135,,,1401,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Bangladesh","Total",0.272,,,5147,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Barbados","Officers",0.19,,,1629,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Barbados","Ratings",0.224,,,2317,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Barbados","Total",0.208,,,3946,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
