crew_change_id,plan_created_date,vessel_code,seafarer_id,rank,movement_type,origin_airport,connection_airport,destination_airport,number_of_connections,shortest_connection_minutes,scheduled_departure,scheduled_arrival,estimated_travel_cost_eur,joining_port,vessel_eta,reporting_deadline,port_transfer_minutes,port_agent_confirmed,vessel_eta_confidence,passport_country_code,passport_valid,visa_status,medical_valid,documents_verified,ticket_status,airport_delay_risk,weather_risk,route_complexity,arrival_buffer_minutes,risk_score,risk_level,risk_reasons,ai_risk_briefing,human_review_status,actual_outcome,actual_delay_minutes,crew_change_completed,additional_cost_eur,outcome_reason
CC-0001,2026-03-19,VSL-014,SEA-0029,Third Engineer,Joining,MNL,DOH,BRE,1,102,2026-03-28T02:00:00Z,2026-03-28T23:00:00Z,1185,DEBRV,2026-03-29T18:49:00Z,2026-03-29T11:49:00Z,75,True,High,PH,True,Verified,True,True,Ticketed,Low,Low,Medium,694,0,Low,No material risk factor identified under the prototype rules,,Not reviewed,On time,0,True,0,No disruption
CC-0002,2026-03-18,VSL-013,SEA-0011,Electrician,Joining,DEL,DXB,HAM,1,116,2026-03-31T04:15:00Z,2026-03-31T20:15:00Z,1394,DEHAM,2026-04-01T07:04:00Z,2026-04-01T00:04:00Z,45,True,Medium,IN,True,Verified,True,True,Reserved,Medium,Low,Medium,184,33,Medium,Arrival buffer below 4 hours: 184 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0003,2026-06-06,VSL-003,SEA-0078,Bosun,Joining,BOM,IST,DXB,1,56,2026-07-07T09:15:00Z,2026-07-08T00:15:00Z,1039,AEDXB,2026-07-08T08:28:00Z,2026-07-08T06:28:00Z,45,True,High,IN,True,Verified,True,True,Ticketed,Medium,Low,High,328,48,Medium,Tight connection: 56 minutes; Arrival buffer between 4 and 8 hours: 328 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0004,2026-06-09,VSL-015,SEA-0019,Chief Engineer,Joining,DEL,DXB,BRU,1,101,2026-07-11T22:30:00Z,2026-07-12T09:45:00Z,1363,BEANR,2026-07-12T18:37:00Z,2026-07-12T12:37:00Z,50,False,High,IN,True,Verified,True,True,Ticketed,Medium,Low,Medium,122,43,Medium,Arrival buffer below 4 hours: 122 minutes; Airport historical delay indicator: Medium; Port agent transfer not confirmed,,Not reviewed,Delayed but completed,138,True,350,Flight delay
CC-0005,2026-08-10,VSL-013,SEA-0077,Cook,Joining,DAC,CDG,SIN,1,154,2026-08-22T08:45:00Z,2026-08-23T01:00:00Z,1310,SGSIN,2026-08-23T13:26:00Z,2026-08-23T05:26:00Z,35,True,High,BD,True,Pending verification,True,False,Quoted,Low,Medium,Medium,231,50,High,Arrival buffer below 4 hours: 231 minutes; Visa/document status: Pending verification; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0006,2026-06-22,VSL-017,SEA-0078,Second Officer,Joining,MNL,IST,SIN,1,113,2026-07-28T05:30:00Z,2026-07-28T18:00:00Z,1685,SGSIN,2026-07-29T06:30:00Z,2026-07-29T03:30:00Z,35,True,High,PH,True,Verified,True,True,Ticketed,Low,Medium,Medium,535,5,Low,Weather indicator: Medium,,Not reviewed,Rebooked,699,True,358,Severe weather
CC-0007,2026-05-30,VSL-018,SEA-0017,Chief Officer,Joining,DAC,CDG,AMS,1,45,2026-06-25T07:30:00Z,2026-06-26T01:30:00Z,1647,NLRTM,2026-06-26T12:09:00Z,2026-06-26T06:09:00Z,75,True,High,BD,True,Verified,True,True,Ticketed,High,Low,High,204,65,High,Tight connection: 45 minutes; Arrival buffer below 4 hours: 204 minutes; Airport historical delay indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0008,2026-03-07,VSL-008,SEA-0001,Chief Officer,Joining,DEL,CDG,SIN,1,153,2026-04-11T03:15:00Z,2026-04-12T01:45:00Z,731,SGSIN,2026-04-12T16:38:00Z,2026-04-12T10:38:00Z,35,True,Medium,IN,True,Pending verification,True,False,Reserved,Low,Low,Medium,498,20,Low,Visa/document status: Pending verification,,Not reviewed,On time,0,True,0,No disruption
CC-0009,2026-04-26,VSL-012,SEA-0055,Third Engineer,Joining,MNL,DXB,BRU,1,63,2026-06-08T20:15:00Z,2026-06-09T12:00:00Z,795,BEANR,2026-06-09T20:59:00Z,2026-06-09T17:59:00Z,50,True,Medium,PH,True,Verified,True,True,Ticketed,Medium,Low,High,309,38,Medium,Short connection: 63 minutes; Arrival buffer between 4 and 8 hours: 309 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0010,2026-04-07,VSL-018,SEA-0013,Chief Officer,Joining,CGK,IST,HAM,1,60,2026-05-18T04:30:00Z,2026-05-18T16:45:00Z,1633,DEHAM,2026-05-19T02:16:00Z,2026-05-18T22:16:00Z,45,True,Low,ID,True,Verified,True,True,Ticketed,Medium,Low,High,286,38,Medium,Short connection: 60 minutes; Arrival buffer between 4 and 8 hours: 286 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
